ID	Type	BRD2	CDKN1A	FZD7	GABARAPL2	SLC39A14	nomoscore
GSM5176138	C	9.990473	9.599872	8.084006	11.193846	11.920136	-13.0290170425828
GSM5176139	C	10.189948	10.579252	8.066891	11.365698	12.826368	-15.0058537132068
GSM5176140	C	9.8654	10.27784	8.078702	11.319032	11.939535	-13.196595250759
GSM5176141	C	10.003782	10.134931	8.4509	11.331068	12.067734	-9.55770801798317
GSM5176142	C	9.724538	10.701711	8.157947	11.14503	12.223241	-17.3314163246202
GSM1332201	C	9.389629	9.460664	8.155251	11.421958	12.747652	-9.51605737666506
GSM1332202	C	10.018773	10.886683	8.005917	11.152297	12.538156	-19.6519342505855
GSM1332203	C	10.624889	10.782749	8.228988	11.38146	12.077585	-12.7331869940602
GSM1332204	C	10.23653	11.266645	9.17894	10.825423	12.863684	-16.9345444920702
GSM1332205	C	10.715402	11.220013	9.246124	11.234792	12.716536	-9.02146845104841
GSM1332206	C	10.1002	11.01311	9.069211	11.480367	11.652394	-3.88373637081091
GSM1332207	C	10.170902	10.917717	7.961536	11.221612	12.632345	-19.1202320844647
GSM1332208	C	10.339285	11.524502	7.897753	10.933294	12.363783	-26.0684856426808
GSM1332209	C	10.114435	10.567802	9.067343	11.355282	12.222682	-5.54230743181222
GSM1332210	C	10.176814	10.264889	8.569422	10.98638	12.207646	-15.0435025001574
GSM1337304	C	9.872833	10.519307	8.641599	11.442967	11.061681	-5.56122155905081
GSM1337305	C	9.883478	8.96517	8.820257	11.457769	12.102449	-0.494738901164339
GSM1337306	C	9.408674	9.408067	8.609698	11.110208	11.71609	-8.96835006558609
GSM1337307	C	10.16859	11.841931	6.886198	10.952214	12.916849	-36.3936995534103
GSM1337308	C	9.913239	11.54282	7.794005	11.248786	13.027535	-22.8079265413111
GSM1337309	C	10.467022	9.909875	8.981464	11.575029	11.985625	-0.00648115339672017
GSM1337310	C	10.375829	8.886947	8.58287	11.380327	10.226013	-0.376933489534707
GSM1337311	C	10.63467	10.64886	8.831976	11.467453	10.59342	-3.13716921128446
GSM1337312	C	10.720007	10.715299	8.70836	11.467453	10.821227	-4.80215002507592
GSM1337313	C	10.215691	11.506801	8.400759	11.330188	11.971565	-14.3084586970066
GSM5176143	P	9.716876	9.607717	8.773166	11.448892	11.549563	-2.19718671728009
GSM5176144	P	10.180314	8.776165	9.104502	11.425804	10.614946	4.55804614406395
GSM5176145	P	9.615028	8.347871	8.680988	12.010006	11.242151	11.1486854326029
GSM5176146	P	9.590413	9.454326	9.468046	11.662775	11.357799	8.20614433244958
GSM5176147	P	9.055629	8.988882	9.49548	11.809138	11.047473	12.9676844128627
GSM5176148	P	9.528699	8.706453	9.325581	11.531679	10.834131	8.09771553571463
GSM1332211	P	10.043609	8.680258	9.152071	11.343387	10.7065	3.72556866540162
GSM1332212	P	9.658696	8.556802	9.66053	11.67231	10.940151	13.6555660977207
GSM1332213	P	9.07189	8.50672	8.98672	11.914195	10.179604	13.4439312085479
GSM1332214	P	9.284991	9.006386	8.949221	11.537604	10.86732	3.93975013375967
GSM1332215	P	9.38499	9.120325	9.222189	11.749328	10.885625	9.46178855009333
GSM1332216	P	9.413617	8.333456	9.020808	11.717975	11.227847	9.18474817518484
GSM1332217	P	8.879233	9.385521	9.215216	11.65549	12.017402	5.0133188914433
GSM1332218	P	9.451933	9.308189	9.157334	11.658644	10.703709	7.06898133995429
GSM1332219	P	9.640136	9.00143	9.964964	11.498829	10.529862	12.5775929984747
GSM1332220	P	10.093841	8.571511	8.948713	11.29714	10.315283	2.22340423782902
GSM1337327	P	9.829725	9.156831	9.282984	11.599865	11.852179	5.67943181364342
GSM1337328	P	9.553403	9.011532	9.018382	11.735259	11.872319	6.14508974540524
GSM1337329	P	9.472939	9.124993	9.439064	11.935148	11.184923	13.940203184156
GSM1337330	P	9.288558	9.446347	9.045699	11.645882	10.204412	6.2999119815145
GSM1337331	P	9.146481	8.081966	9.06008	11.716081	10.247099	11.985495092099
GSM1337332	P	9.413555	8.804468	9.00061	11.558225	12.175046	3.15140883763695
GSM1337333	P	9.215307	8.913197	8.470975	11.876506	9.670156	7.93372008718455
GSM1337334	P	9.202447	8.743877	9.629534	11.431249	11.512016	7.71949620952665
GSM1337335	P	9.341966	9.421475	9.185156	11.524406	10.847372	4.41875953227435
GSM1337336	P	10.16954	9.149431	8.963591	11.579334	11.789932	2.72609043270813
GSM1339633	P	9.309012	8.63404	8.557875	11.65908	11.89874	2.09477511684167
GSM1339632	P	9.601651	8.990449	9.538237	11.529281	11.960555	7.02744502382913
GSM1339631	P	9.930172	10.606046	8.978678	11.794148	10.620792	3.74593151425438
GSM1339630	P	10.174579	8.780357	9.457404	11.685218	11.818667	9.90352534582283
GSM1339629	P	9.846917	9.380041	9.656428	11.519411	11.089076	8.09314602684481
GSM1339628	P	10.162123	9.583151	8.88218	11.608257	10.671899	3.01669485912498
