FeatureName	FeatureID	AvgRank
FZD7	13	1.9
GABARAPL2	14	3.5
ATF3	2	5.5
IL6	19	9.5
PTGS2	28	10.2
PARK7	24	10.7
HSPA5	17	10.9
CDKN2A	7	11.5
MEF2C	20	12.5
CDKN1A	6	12.7
SOCS1	35	13.2
IL1B	18	14.1
RELA	30	14.7
PARP6	25	15.9
PGRMC1	27	16.6
DAZAP1	9	18.8
MEG3	21	20.3
EGFR	11	20.7
ATG16L1	3	21.5
RBMS1	29	21.9
BRD2	4	22
SCP2	31	23.5
CYB5R1	8	23.9
SLC39A14	33	24.2
ALDH3A2	1	25.3
TFRC	37	26.7
TNFAIP3	38	26.7
TBK1	36	26.8
GSTZ1	16	27.6
MTDH	22	27.7
ZFP36	40	27.7
FURIN	12	27.8
ULK1	39	28.8
NDRG1	23	29
DDR2	10	29.6
SLC25A28	32	29.7
BRD4	5	31
PEX2	26	31
SNX5	34	31.6
GLRX5	15	32.8
