Gene	miRNA	miRanda	miRDB	TargetScan	Sum
GABARAPL2	hsa-miR-935	1	1	1	3
FZD7	hsa-miR-548c-5p	1	1	1	3
FZD7	hsa-miR-568	1	1	1	3
CDKN1A	hsa-miR-345-5p	1	1	1	3
SLC39A14	hsa-miR-877-3p	1	1	1	3
GABARAPL2	hsa-miR-3180-5p	1	1	1	3
SLC39A14	hsa-miR-484	1	1	1	3
CDKN1A	hsa-miR-3180-3p	1	1	1	3
CDKN1A	hsa-miR-939-5p	1	1	1	3
SLC39A14	hsa-miR-200c-3p	1	1	1	3
SLC39A14	hsa-miR-338-3p	1	1	1	3
SLC39A14	hsa-miR-551b-5p	1	1	1	3
FZD7	hsa-miR-524-5p	1	1	1	3
FZD7	hsa-miR-562	1	1	1	3
CDKN1A	hsa-let-7a-5p	1	1	1	3
FZD7	hsa-miR-513a-3p	1	1	1	3
SLC39A14	hsa-miR-3145-3p	1	1	1	3
SLC39A14	hsa-miR-1275	1	1	1	3
SLC39A14	hsa-miR-130a-5p	1	1	1	3
GABARAPL2	hsa-miR-145-5p	1	1	1	3
SLC39A14	hsa-miR-2116-3p	1	1	1	3
SLC39A14	hsa-miR-502-5p	1	1	1	3
SLC39A14	hsa-miR-335-3p	1	1	1	3
SLC39A14	hsa-miR-200b-5p	1	1	1	3
FZD7	hsa-miR-548c-3p	1	1	1	3
FZD7	hsa-miR-548b-5p	1	1	1	3
CDKN1A	hsa-miR-3125	1	1	1	3
FZD7	hsa-miR-559	1	1	1	3
CDKN1A	hsa-miR-149-3p	1	1	1	3
CDKN1A	hsa-let-7e-5p	1	1	1	3
FZD7	hsa-miR-608	1	1	1	3
SLC39A14	hsa-miR-548b-3p	1	1	1	3
CDKN1A	hsa-miR-20b-5p	1	1	1	3
SLC39A14	hsa-miR-1226-3p	1	1	1	3
CDKN1A	hsa-miR-505-5p	1	1	1	3
SLC39A14	hsa-miR-576-5p	1	1	1	3
CDKN1A	hsa-let-7i-5p	1	1	1	3
SLC39A14	hsa-miR-1236-3p	1	1	1	3
SLC39A14	hsa-miR-16-2-3p	1	1	1	3
CDKN1A	hsa-miR-2277-3p	1	1	1	3
CDKN1A	hsa-miR-4310	1	1	1	3
CDKN1A	hsa-miR-423-5p	1	1	1	3
SLC39A14	hsa-miR-150-5p	1	1	1	3
SLC39A14	hsa-miR-4264	1	1	1	3
SLC39A14	hsa-miR-626	1	1	1	3
CDKN1A	hsa-miR-1207-3p	1	1	1	3
