miRNA	lncRNA
hsa-miR-7-5p	CDR1-AS
hsa-miR-1208	FLJ16779
hsa-miR-615-5p	MUC2
hsa-miR-802	CTA-414D7.1
hsa-miR-194-5p	CTA-414D7.1
hsa-miR-1200	LINC01043
hsa-miR-765	GAS6-AS1
hsa-miR-339-5p	MUC19
hsa-miR-34c-3p	FLJ16779
hsa-miR-450b-3p	RP11-326C3.10
hsa-miR-612	RP11-326C3.10
hsa-miR-767-5p	RP11-326C3.10
hsa-miR-125a-3p	RP11-10J21.4
hsa-miR-570-3p	RP11-10J21.4
hsa-miR-5093	RP11-10J21.4
hsa-miR-541-3p	RP11-10J21.4
hsa-miR-1228-5p	FAM230B
hsa-miR-1202	HP09025
hsa-miR-221-5p	LINC01043
hsa-miR-670-5p	MUC19
hsa-miR-143-5p	CTA-414D7.1
hsa-miR-1207-3p	MUC19
hsa-miR-541-3p	RP11-573D15.8
hsa-miR-1322	LL22NC03-2H8.5
hsa-miR-875-3p	CDR1-AS
hsa-miR-214-3p	LA16c-306A4.2
hsa-miR-192-3p	RP11-830F9.6
hsa-miR-125a-3p	RP11-830F9.6
hsa-miR-141-3p	RP11-830F9.6
hsa-miR-99a-3p	RP1-34P24.3
hsa-miR-125a-3p	LINC00917
hsa-miR-504-5p	RP11-830F9.6
hsa-miR-7-5p	RP11-830F9.6
hsa-miR-363-5p	RP11-573D15.8
hsa-miR-10a-3p	RP11-10J21.4
hsa-miR-27a-3p	RP11-10J21.4
hsa-miR-92a-1-5p	MUC2
hsa-miR-541-3p	C10orf91
hsa-miR-1228-3p	RP11-210M15.1
hsa-miR-219a-5p	TP73-AS1
hsa-miR-671-5p	RP5-894D12.5
hsa-miR-665	RP5-894D12.5
hsa-miR-326	RP1-34P24.3
hsa-miR-612	RP1-34P24.3
hsa-miR-671-5p	RP1-34P24.3
hsa-miR-3200-5p	AC069257.8
hsa-miR-874-3p	FAM230B
hsa-miR-197-3p	LA16c-306A4.2
hsa-miR-218-5p	RP5-894D12.5
hsa-miR-378a-3p	RP5-894D12.5
hsa-miR-3659	RP5-894D12.5
hsa-miR-221-5p	RP5-894D12.5
hsa-miR-515-5p	TTLL10-AS1
hsa-miR-615-5p	PAX8-AS1
hsa-miR-187-3p	LA16c-OS12.2
hsa-miR-31-5p	C10orf91
hsa-miR-1228-3p	CITF22-1A6.3
hsa-miR-30b-3p	C10orf91
hsa-miR-149-3p	C10orf91
hsa-miR-423-5p	C10orf91
hsa-miR-1273g-5p	RP11-13K12.1
hsa-miR-323a-5p	RP11-13K12.1
hsa-miR-1238-3p	GS1-519E5.1
hsa-miR-145-5p	MUC19
hsa-miR-198	MUC19
hsa-miR-1273g-5p	MUC2
hsa-miR-125a-3p	AC097468.4
hsa-miR-7515	AC079779.7
hsa-miR-505-3p	AC079779.7
