Node1	Node2	Interaction
CDKN1A	CELECOXIB	""
CDKN1A	MELPHALAN	""
CDKN1A	PACLITAXEL	""
CDKN1A	CARBOPLATIN	""
CDKN1A	NICOTINE	""
CDKN1A	FLUOROURACIL	""
CDKN1A	CLADRIBINE	""
CDKN1A	DIAZIQUONE	""
CDKN1A	DICUMAROL	""
CDKN1A	EPOETIN BETA	""
CDKN1A	CYCLOSPORINE	""
CDKN1A	VINBLASTINE	""
CDKN1A	ROMIDEPSIN	""
CDKN1A	ACETAMINOPHEN	""
CDKN1A	DEOXYCYTIDINE	""
CDKN1A	IRINOTECAN HYDROCHLORIDE	""
CDKN1A	PENTETIC ACID	""
CDKN1A	FLUTAMIDE	""
FZD7	VANTICTUMAB	antagonist|antibody
SLC39A14	NORTRIPTYLINE	""
